Symbol,Company Name,Market Cap,Stock Price
AME,"AMETEK, Inc.",49.11B,214.49
ZTS,Zoetis Inc.,48.81B,115.62
NDAQ,"Nasdaq, Inc.",48.62B,85.53
NXPI,NXP Semiconductors N.V.,48.23B,190.86
FIX,"Comfort Systems USA, Inc.",48.03B,1365.34
KEYS,"Keysight Technologies, Inc.",47.98B,279.78
ETR,Entergy Corporation,47.83B,105.58
CIEN,Ciena Corporation,47.71B,337.38
EW,Edwards Lifesciences Corporation,47.52B,81.81
CARR,Carrier Global Corporation,46.51B,55.65
F,Ford Motor Company,46.50B,11.67
URI,"United Rentals, Inc.",46.44B,737.22
KR,The Kroger Co.,46.42B,75.60
IDXX,"IDEXX Laboratories, Inc.",45.69B,573.82
BDX,"Becton, Dickinson and Company",45.38B,159.36
GRMN,Garmin Ltd.,44.95B,233.52
TER,"Teradyne, Inc.",44.84B,286.42
YUM,"Yum! Brands, Inc.",44.34B,160.40
MET,"MetLife, Inc.",44.32B,67.97
HSY,The Hershey Company,44.00B,217.09
DDOG,"Datadog, Inc.",43.90B,124.52
CVNA,Carvana Co.,42.84B,300.15
CMG,"Chipotle Mexican Grill, Inc.",42.35B,32.52
PEG,Public Service Enterprise Group Incorporated,41.76B,83.73
ED,"Consolidated Edison, Inc.",41.50B,114.88
PYPL,"PayPal Holdings, Inc.",41.34B,44.90
AIG,"American International Group, Inc.",41.18B,76.74
VTR,"Ventas, Inc.",41.11B,86.56
SYY,Sysco Corporation,40.94B,85.49
EBAY,eBay Inc.,40.92B,91.34
DHI,"D.R. Horton, Inc.",40.70B,140.49
ROK,"Rockwell Automation, Inc.",40.55B,360.93
WAB,Westinghouse Air Brake Technologies Corporation,40.37B,236.76
AMP,"Ameriprise Financial, Inc.",40.31B,442.08
MSCI,MSCI Inc.,40.26B,547.90
EQT,EQT Corporation,40.18B,64.37
CBRE,"CBRE Group, Inc.",39.49B,133.80
AXON,"Axon Enterprise, Inc.",39.15B,496.18
FITB,Fifth Third Bancorp,39.14B,43.40
TTWO,"Take-Two Interactive Software, Inc.",38.62B,208.58
DAL,"Delta Air Lines, Inc.",38.39B,58.78
WEC,"WEC Energy Group, Inc.",38.20B,117.35
CCI,Crown Castle Inc.,38.14B,87.47
ODFL,"Old Dominion Freight Line, Inc.",37.67B,180.75
NUE,Nucor Corporation,37.41B,163.48
KDP,Keurig Dr Pepper Inc.,37.24B,27.41
HIG,"The Hartford Insurance Group, Inc.",36.67B,132.93
TPL,Texas Pacific Land Corporation,36.62B,531.13
LYV,"Live Nation Entertainment, Inc.",36.15B,153.97
ROP,"Roper Technologies, Inc.",36.13B,351.00
